dataset,noise_type,NL,model,accuracy,accuracy_percent
DREAMER,EMG,0.03,EEGNet,0.8563,85.63
DREAMER,EMG,0.05,DA-SNN,0.9178,91.78
DREAMER,EMG,0.05,DH-SNN,0.8626,86.26
DREAMER,EMG,0.05,EEGNet,0.8399,83.99
DREAMER,EMG,0.08,DA-SNN,0.916,91.60000000000001
DREAMER,EMG,0.08,DH-SNN,0.8307,83.07
DREAMER,EMG,0.08,EEGNet,0.8195,81.95
DREAMER,EMG,0.1,DA-SNN,0.9025,90.25
DREAMER,EMG,0.1,DH-SNN,0.7973,79.73
DREAMER,EMG,0.1,EEGNet,0.8069,80.69
DREAMER,EMG,0.125,DA-SNN,0.8481,84.81
DREAMER,EMG,0.125,DH-SNN,0.7428,74.28
DREAMER,EMG,0.125,EEGNet,0.7505,75.05
